trip_id,route_id,vehicle_id,latitude,longitude,bearing,stop_id,timestamp_epoch
6252425-11_R_97_1105_10:25-SETP2025-11-Semaine-37,11,RLA356,43.70283126831055,7.250916004180908,107,1315,1757406438
6018951-55_R_98_5502_10:15-PROJET2025-55-Semaine-08,55,TCA73967,43.71355056762695,7.170166969299316,156,5144,1757406439
6369832-49_R_95_4901_08:10-PROJET2025-49-Semaine-08,chouette:Line:07759d26-564a-4043-bd2d-d1e0c98d686c:LOC,TCA109005,43.68576431274414,7.149418354034424,282,4112,1757406439
6366089-20_R_99_2001_10:11-SETP2025-20-Semaine-42,20,RLA330,43.65861511230469,7.194923400878906,92,5020,1757406439
6429295-15_R_99_1501_10:15-SETP2025-15-Semaine-11,15,RLA334,43.699710845947266,7.326575756072998,12,8144,1757406441
4669795-62_R_98_6203_10:15-RESEAU2023-62-Semaine-17,62,TCA108188,43.724796295166016,7.2160162925720215,161,1090,1757406441
6369750-42_R_95_4201_10:16-PROJET2025-42-Semaine-83,42,TCA108190,43.662628173828125,7.191170692443848,333,5116,1757406439
5203689-68_R_99_6801_08:54-PROJET2024-68-Semaine-15,68,PDV9,43.80405044555664,7.193681716918945,148,21268,1757404329
6261671-73_A_1_7302_09:20-PROJET2025-73-Semaine-16,73,PDV83,43.77035903930664,7.195898532867432,186,21207,1757406439
6366082-20_A_50_2006_09:59-SETP2025-20-Semaine-42,20,RLA332,43.68757247924805,7.183808326721191,310,5082,1757406439
6102449-63_R_98_6304_10:20-PROJET2025-63-Semaine-72-1101100,63,TCA73940,43.73543167114258,7.263405799865723,28,413,1757406439
5673233-NVN1_R_98_NVN102_10:15-PROJET2024-NVence1-Semaine-15,NVN1,TCA108187,43.71482467651367,7.1209282875061035,31,3221,1757406441
4603451-83_A_47_8301_13:50-RESEAU2023-83-Semaine-03,83,SUM1748,43.72864532470703,7.382203102111816,107,8167,1757389837
6416288-51_R_98_5101_09:48-PROJET2025-51-Semaine-10,51,TCA105028,43.69187545776367,7.2051472663879395,321,37,1757406441
6409600-57_R_99_5712_09:55-SETP2025-57-Semaine-06,57,RLA621,43.7028694152832,7.2685322761535645,156,1354,1757406439
6327193-17_R_99_1702_09:58-SETP2025-17-L-Ma-J-V-35,17,RLA162,43.6789436340332,7.228246212005615,223,602,1757406439
6409572-57_A_50_5706_09:45-SETP2025-57-Semaine-06,57,RLA622,43.7134895324707,7.254838466644287,329,478,1757406439
6253039-14_R_99_1408_09:31-SETP2025-14-L-Ma-J-V-38,14,RLA484,43.749324798583984,7.317437648773193,344,2688,1757401854
6414236-07_R_97_0703_10:42-SETP2025-07-L-Ma-J-V-41,07,RLA451,43.69892883300781,7.284844875335693,0,701,1757406438
5838855-22_R_95_2202_09:00-PROJET2025-22-Semaine-20,22,PDV110805,43.74763107299805,7.188525199890137,202,2994,1757406439
6414235-07_R_97_0705_10:32-SETP2025-07-L-Ma-J-V-41,07,RLA438,43.699092864990234,7.285068035125732,7,701,1757406438
6409573-57_A_50_5711_10:00-SETP2025-57-Semaine-06,57,RLA615,43.70539855957031,7.265627861022949,241,52,1757406439
5097934-69_R_90_6901_09:15-PROJET2023-69-Semaine-15,69,PDV48,43.76655578613281,7.201985836029053,78,21735,1757405651
5340988-72_R_98_7201_10:25-PROJET2024-72-Semaine-74,72,TCA117300,43.715782165527344,7.250561237335205,328,364,1757406441
6424129-16_R_96_1601_10:42-SETP2025-16-Semaine-35,16,RLA157,43.72393035888672,7.259566307067871,158,1431,1757406441
6365926-20_A_50_2002_10:11-SETP2025-20-Semaine-42,20,RLA335,43.67205810546875,7.194033622741699,339,5251,1757406439
6413140-38_A_50_3803_10:09-SETP2025-38-Semaine-41,38,RLA14,43.6983642578125,7.2703328132629395,157,1179,1757406441
6415996-21_A_50_2105_10:02-SETP2025-21-Semaine-40,21,RLA320,43.66484069824219,7.172267436981201,239,4089,1757406441
6253087-14_A_50_1402_10:29-SETP2025-14-L-Ma-J-V-38,14,RLA481,43.74971389770508,7.318473815917969,73,7233,1757406441
6424180-16_A_50_1602_10:19-SETP2025-16-Semaine-35,16,RLA160,43.71929931640625,7.265508651733398,227,792,1757406441
6428417-61_R_99_6105_10:00-PROJET2025-61-Semaine-24,61,TCA108189,43.682682037353516,7.222711563110352,183,39,1757406439
6429227-15_R_99_1505_10:00-SETP2025-15-Semaine-11,15,RLA318,43.70658493041992,7.311840534210205,214,8072,1757406441
6368843-09_A_50_0908_10:30-PROJET2025-09-Semaine-35,09,TCA109468,43.722694396972656,7.107244491577148,25,3146,1757406289
6416339-51_A_49_5104_10:04-PROJET2025-51-Semaine-10,51,TCA73914,43.6817626953125,7.214560508728027,116,1099,1757406441
5909223-NVN3_A_90_NVN301_09:55-PROJET2025-NVence3-Semaine-12,NVN3,TCA106701,43.72259521484375,7.1151885986328125,287,3005,1757406441
6416425-33_A_50_3305_10:13-SETP2025-33-L-Ma-J-V-36,33,RLA174,43.70457077026367,7.280062198638916,209,148,1757406438
6252997-14_R_99_1406_10:16-SETP2025-14-L-Ma-J-V-38,14,RLA485,43.727088928222656,7.2851643562316895,307,1009,1757406441
6253096-14_R_99_1403_10:07-SETP2025-14-L-Ma-J-V-38,14,RLA488,43.71451187133789,7.284769535064697,242,556,1757406441
6419974-35_A_50_3503_09:47-SETP2025-35-Semaine-35,35,RLA131,43.736934661865234,7.26253604888916,128,414,1757406439
6410617-64_A_50_6401_10:45-SETP2025-64-Semaine-37,64,RLA102,43.707271575927734,7.269357204437256,329,2909,1757406439
6424179-16_R_97_1604_10:20-SETP2025-16-Semaine-35,16,RLA125,43.72525405883789,7.252607345581055,75,707,1757406441
6414211-07_A_49_0707_10:13-SETP2025-07-L-Ma-J-V-41,07,RLA448,43.73124313354492,7.284008979797363,235,1198,1757406438
6102447-63_R_98_6301_09:40-PROJET2025-63-Semaine-72-1101100,63,TCA73942,43.71216583251953,7.261013984680176,177,1422,1757406439
6429228-15_A_50_1503_10:16-SETP2025-15-Semaine-11,15,RLA326,43.70303726196289,7.278270721435547,89,148,1757406441
6409603-57_R_99_5714_10:40-SETP2025-57-Semaine-06,57,RLA614,43.7298698425293,7.248439311981201,19,2826,1757406439
6252468-11_A_50_1102_10:00-SETP2025-11-Semaine-37,11,RLA374,43.70184326171875,7.256109237670898,185,1298,1757406438
5838867-22_A_45_2203_09:30-PROJET2025-22-Semaine-20,22,PDV86,43.67631912231445,7.198951721191406,154,2852,1757406439
5838851-22_A_45_2201_08:45-PROJET2025-22-Semaine-20,22,PDV88,43.769378662109375,7.195925712585449,346,21234,1757401834
6428313-60_A_50_6002_10:30-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,TCA73925,43.692405700683594,7.244168281555176,161,2997,1757406439
4350579-40_A_50_4001_10:23-RESEAU2023-40-Semaine-04,40,TCA115611,43.72331237792969,7.286472320556641,280,276,1757406439
6327117-17_A_50_1705_09:57-SETP2025-17-L-Ma-J-V-35,17,RLA159,43.69206237792969,7.200081825256348,331,2652,1757406439
5673211-NVN1_A_48_NVN101_10:15-PROJET2024-NVence1-Semaine-15,NVN1,TCA108186,43.71755599975586,7.1138200759887695,342,3233,1757406441
5838848-22_A_45_2206_09:05-PROJET2025-22-Semaine-20,22,PDV110809,43.676212310791016,7.19895601272583,156,2852,1757406439
6140108-41_A_5_4102_10:02-PROJET2025-41-Semaine-05,41,TCA73076,43.65530776977539,7.151307106018066,174,4050,1757406439
